                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65131,                 1.3793,                 5.0775,                 1.0874,                      1,                0.99341,                  0.995,                0.95661,                      1,                0.99341,                  0.995,                0.91822,                0.42195,                0.87398,                 4.1515,                 0.8634,             0.00029854,             0.00029854,             0.00029854
                      2,                0.54967,                0.58259,                 2.9346,                0.93858,                      1,                0.80559,                  0.995,                0.93374,                      1,                0.80559,                  0.995,                0.94464,                0.44919,                0.68432,                 3.8569,                0.84611,             0.00048244,             0.00048244,             0.00048244
                      3,                0.49738,                0.50005,                 2.8195,                0.95252,                      1,                 0.8956,                  0.995,                0.89335,                      1,                 0.8956,                  0.995,                0.92535,                0.45677,                0.66049,                 3.1509,                0.87527,             0.00054634,             0.00054634,             0.00054634
