                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.4466,                 3.6296,                 2.2034,                0.25366,                0.08333,                0.13253,                 0.0391,                 2.7423,                 2.6873,                 1.9907,              0.0013466,              0.0013466,              0.0013466
                     36,                 3.5193,                 3.5111,                 2.1907,                0.23591,                0.16667,                 0.1065,                0.04371,                 2.7863,                 2.6783,                 1.7987,              0.0013268,              0.0013268,              0.0013268
                     37,                 3.4983,                 3.5682,                 2.2606,                0.21517,                  0.125,                0.10961,                0.05301,                 3.0142,                 2.6363,                 1.9287,               0.001307,               0.001307,               0.001307
                     38,                 3.5152,                 3.5534,                 2.1565,                0.31087,                0.08333,                0.09812,                0.02948,                 3.1016,                 2.6503,                 1.9756,              0.0012872,              0.0012872,              0.0012872
                     39,                   3.22,                 3.3991,                 2.0921,                 0.0115,                0.54167,                0.12499,                0.03853,                 2.7458,                 2.6237,                 1.8185,              0.0012674,              0.0012674,              0.0012674
                     40,                 3.3092,                 3.3213,                 2.0229,                0.11617,                0.16667,                 0.1409,                0.04058,                 2.7163,                 2.6639,                 1.8021,              0.0012476,              0.0012476,              0.0012476
                     41,                 3.3649,                 3.3774,                 2.0543,                0.28064,                0.08333,                 0.1344,                  0.052,                 2.5759,                 2.5952,                 1.8064,              0.0012278,              0.0012278,              0.0012278
                     42,                 3.4071,                 3.3663,                  2.091,                0.38479,                  0.125,                0.16093,                0.05953,                 2.7641,                  2.423,                 1.8829,               0.001208,               0.001208,               0.001208
                     43,                 3.4091,                 3.2144,                 2.0243,                0.38726,                0.16667,                0.16175,                0.06236,                 2.6664,                 2.4452,                 1.8498,              0.0011882,              0.0011882,              0.0011882
                     44,                 3.3238,                 3.2566,                 2.0384,                0.38461,                  0.125,                0.17823,                 0.0895,                 2.4912,                 2.4369,                 1.7326,              0.0011684,              0.0011684,              0.0011684
                     45,                 3.2515,                 3.1946,                 2.0048,                0.51796,                0.13548,                0.19901,                0.10051,                 2.4875,                 2.3281,                 1.6275,              0.0011486,              0.0011486,              0.0011486
                     46,                 3.4214,                 3.2839,                 2.0048,                0.55199,                0.16667,                0.19887,                0.10279,                 2.3907,                 2.2803,                 1.5605,              0.0011288,              0.0011288,              0.0011288
                     47,                 3.2906,                 3.2955,                 2.0717,                0.37041,                0.16667,                0.13661,                 0.0729,                 2.4801,                 2.3668,                 1.6395,               0.001109,               0.001109,               0.001109
                     48,                 3.2314,                 3.3117,                 2.0168,                 0.4364,                0.16667,                0.19605,                0.08355,                 2.5349,                 2.4951,                 1.7302,              0.0010892,              0.0010892,              0.0010892
                     49,                  3.207,                 3.3215,                  1.935,                0.75118,                0.16667,                0.19023,                 0.0731,                 2.6274,                 2.3292,                 1.7088,              0.0010694,              0.0010694,              0.0010694
                     50,                 3.3391,                  3.343,                 2.0271,                0.47674,                0.16667,                0.22346,                0.08152,                 2.5463,                 2.3744,                 1.7162,              0.0010496,              0.0010496,              0.0010496
                     51,                 3.2974,                 3.3037,                 2.0482,                0.65447,                0.15904,                0.19669,                0.09622,                 2.3711,                 2.3493,                 1.6294,              0.0010298,              0.0010298,              0.0010298
                     52,                 3.2867,                   3.33,                 2.0217,                0.14451,                0.20833,                 0.1215,                0.06094,                 2.4421,                 2.5977,                 1.6381,                0.00101,                0.00101,                0.00101
                     53,                 3.0866,                 3.3671,                 1.9219,                0.01195,                    0.5,                0.10335,                0.04592,                 2.4974,                 2.6303,                  1.656,              0.0009902,              0.0009902,              0.0009902
                     54,                 3.1847,                 3.2963,                 1.9226,                0.00846,                    0.5,                0.12286,                0.04876,                 2.7172,                 2.6045,                 1.6925,              0.0009704,              0.0009704,              0.0009704
                     55,                 3.3258,                 3.4095,                 1.9736,                0.02626,                0.45833,                0.12068,                0.04486,                 2.7103,                 2.5272,                 1.6999,              0.0009506,              0.0009506,              0.0009506
                     56,                 3.1688,                  3.238,                 1.9056,                0.01956,                  0.625,                0.14098,                0.05262,                 2.5704,                 2.5444,                 1.6707,              0.0009308,              0.0009308,              0.0009308
