                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65131,                 1.3793,                 5.0775,                 1.0874,                      1,                0.99341,                  0.995,                0.95661,                      1,                0.99341,                  0.995,                0.91822,                0.42195,                0.87398,                 4.1515,                 0.8634,             0.00029854,             0.00029854,             0.00029854
                      2,                0.53015,                0.56519,                 2.9094,                0.93086,                      1,                 0.9461,                  0.995,                0.93232,                      1,                 0.9461,                  0.995,                 0.9432,                0.43012,                0.62911,                 3.4806,                0.82879,             0.00040303,             0.00040303,             0.00040303
                      3,                0.51851,                0.51191,                 2.6795,                0.92995,                      1,                 0.9931,                  0.995,                0.95324,                      1,                 0.9931,                  0.995,                0.94208,                0.34328,                0.48275,                 2.4976,                0.86225,             0.00030754,             0.00030754,             0.00030754
