                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9298,                 4.8252,                 4.1603,                      0,                      0,                      0,                      0,                0.20395,                 12.369,                0.11996,             0.00041258,             0.00041258,             0.00041258
                      2,                 3.3557,                  5.014,                 3.9394,                      0,                      0,                      0,                      0,                0.64416,                 16.887,                0.36076,             0.00066506,             0.00066506,             0.00066506
                      3,                 3.3746,                 4.6068,                 3.9346,                0.00012,                0.00281,                 0.0001,                  2e-05,                 4.4814,                 18.446,                 2.5073,             0.00075253,             0.00075253,             0.00075253
                      4,                 3.2691,                 4.3362,                 3.7663,                0.00029,                0.00562,                0.00018,                  6e-05,                 6.0699,                 13.712,                 3.3958,              0.0005075,              0.0005075,              0.0005075
                      5,                 3.1198,                 4.2553,                 3.5288,                 0.7521,                0.00066,                0.00014,                  3e-05,                 6.0125,                 7.5426,                 3.2743,              0.0005075,              0.0005075,              0.0005075
