                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1297,                 15.204,                 5.5648,                  4.815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7818,                 5.2417,                  4.409,                 4.1743,             0.00030076,             0.00030076,             0.00030076
                      2,                 2.9845,                 8.3858,                 5.0805,                  4.453,                0.14824,                0.33333,                0.06873,                0.02043,                0.14824,                0.33333,                0.06822,                0.01929,                 2.9052,                 12.925,                 7.1597,                 4.5191,             0.00040452,             0.00040452,             0.00040452
                      3,                 3.0577,                 4.9864,                  5.194,                 4.1663,                0.28187,                0.33333,                0.14872,                0.02058,                0.03964,                0.66667,                0.03399,                0.00764,                 2.9911,                 20.254,                 11.375,                 4.8449,              0.0003083,              0.0003083,              0.0003083
