                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0854,                 5.2362,                 4.2245,                0.00476,                0.14286,                 0.0079,                0.00186,                 2.5259,                 4.9483,                 4.1825,             9.7572e-05,             9.7572e-05,             9.7572e-05
                      2,                 3.0722,                 5.2556,                 4.1794,                0.00057,                0.14286,                0.00711,                0.00243,                 2.5418,                 5.0079,                 4.1609,             0.00013103,             0.00013103,             0.00013103
                      3,                 3.0748,                 5.1977,                   4.19,                0.00069,                0.14286,                0.00508,                0.00173,                  2.536,                 4.9278,                  4.162,             9.9814e-05,             9.9814e-05,             9.9814e-05
